id,exercise_id,condition,severity,reason,alternatives,created_at
1,dumbbell-bench-press-flat,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за положения рук над головой.,"{""alternatives"":[""push-ups"",""incline-dumbbell-press"",""cable-flyes""]}",2024-01-15T10:00:00Z
2,dumbbell-bench-press-flat,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
3,barbell-bench-press,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за положения рук над головой.,"{""alternatives"":[""dumbbell-bench-press-flat"",""incline-dumbbell-press"",""cable-flyes""]}",2024-01-15T10:00:00Z
4,barbell-bench-press,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
5,push-ups,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за нагрузки на плечи.,"{""alternatives"":[""wall-push-ups"",""knee-push-ups"",""incline-push-ups""]}",2024-01-15T10:00:00Z
6,push-ups,wrist_injury,relative,Упражнение может усугубить травму запястья из-за нагрузки на суставы.,"{""alternatives"":[""push-ups-on-fists"",""push-ups-on-handles"",""wall-push-ups""]}",2024-01-15T10:00:00Z
7,incline-dumbbell-press,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за положения рук над головой.,"{""alternatives"":[""dumbbell-bench-press-flat"",""cable-flyes"",""push-ups""]}",2024-01-15T10:00:00Z
8,incline-dumbbell-press,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
9,dips-chest-focus,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за нагрузки на плечи в растянутом положении.,"{""alternatives"":[""push-ups"",""dumbbell-bench-press-flat"",""cable-flyes""]}",2024-01-15T10:00:00Z
10,dips-chest-focus,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
11,machine-chest-press-plate-loaded,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за нагрузки на плечи.,"{""alternatives"":[""push-ups"",""cable-flyes"",""wall-push-ups""]}",2024-01-15T10:00:00Z
12,machine-chest-press-plate-loaded,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
13,smith-machine-bench-press,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за положения рук над головой.,"{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""cable-flyes""]}",2024-01-15T10:00:00Z
14,smith-machine-bench-press,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
15,decline-dumbbell-press,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за положения рук над головой.,"{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""cable-flyes""]}",2024-01-15T10:00:00Z
16,decline-dumbbell-press,recent_surgery,absolute,"Выполнение упражнения может помешать заживлению после недавней операции на груди, плечах или спине.","{""alternatives"":[""легкие растяжки"",""дыхательные упражнения"",""консультация с врачом""]}",2024-01-15T10:00:00Z
17,decline-dumbbell-press,high_blood_pressure,relative,"Положение вниз головой может повысить давление в голове и глазах, что опасно при гипертонии.","{""alternatives"":[""dumbbell-bench-press-flat"",""machine-chest-press-plate-loaded"",""push-ups""]}",2024-01-15T10:00:00Z
18,push-ups-on-handles,shoulder_impingement,relative,Упражнение может усугубить воспаление плечевого сустава из-за увеличенного диапазона движения.,"{""alternatives"":[""push-ups"",""wall-push-ups"",""knee-push-ups""]}",2024-01-15T10:00:00Z
19,push-ups-on-handles,wrist_injury,relative,Упражнение может усугубить травму запястья из-за нагрузки на суставы в увеличенном диапазоне.,"{""alternatives"":[""push-ups"",""push-ups-on-fists"",""wall-push-ups""]}",2024-01-15T10:00:00Z
