id,from_exercise_id,to_exercise_id,name,relationship,reason,effectiveness_rating,notes,created_at
ref-push-ups-01-reg,push-ups,incline-push-ups,Отжимания с наклоном - руки на возвышении,regression,difficulty-adjustment,78,"Уменьшает нагрузку за счёт поднятых рук и помогает закрепить нейтральную линию корпуса перед переходом к полу",2025-11-09T00:00:00Z
ref-push-ups-02-prog,push-ups,decline-push-ups,Отжимания с наклоном - ноги на возвышении,progression,skill-development,86,"Увеличивает нагрузку на верх груди и плечи, развивает силовой резерв после освоения базового варианта",2025-11-09T00:00:00Z
ref-push-ups-03-alt,push-ups,machine-chest-press-plate-loaded,Жим от груди в рычажном тренажере,alternative,equipment-availability,74,"Схожая нагрузка на грудь при необходимости тренироваться в зале без упора на собственный вес",2025-11-09T00:00:00Z
ref-incline-push-ups-01-prog,incline-push-ups,push-ups,Отжимания от пола,progression,skill-development,82,"После освоения облегчённого варианта пользователь получает следующий шаг для наращивания силы груди и кора",2025-11-09T00:00:00Z
ref-decline-push-ups-01-reg,decline-push-ups,push-ups,Отжимания от пола,regression,difficulty-adjustment,80,"Снятие избыточной нагрузки на плечевой пояс и контроль амплитуды при перегрузке продвинутого варианта",2025-11-09T00:00:00Z
ref-decline-push-ups-02-prog,decline-push-ups,ring-push-ups,Отжимания на кольцах,progression,skill-development,86,"Нестабильные кольца увеличивают требования к координации и силе стабилизаторов; переходи, когда уверенно держишь корпус в планке с ногами на возвышении",2025-11-11T00:00:00Z
ref-decline-push-ups-03-alt,decline-push-ups,push-ups-on-handles,Отжимания на упорах,alternative,equipment-availability,80,"Упоры увеличивают амплитуду и снижают нагрузку на запястья; подходит, если доступны параллельные бруски",2025-11-11T00:00:00Z
ref-machine-chest-press-plate-loaded-01-alt,machine-chest-press-plate-loaded,push-ups,Отжимания от пола,alternative,equipment-availability,76,"Позволяет продолжать тренировку грудных мышц вне зала, сохраняя схожий паттерн и целевую группу",2025-11-09T00:00:00Z
ref-dumbbell-bench-press-flat-01-reg,dumbbell-bench-press-flat,machine-chest-press-plate-loaded,Жим от груди в рычажном тренажере,regression,difficulty-adjustment,84,"Фиксированная траектория снижает требования к стабилизации и помогает отрабатывать технику перед переходом к свободным весам",2025-11-09T00:00:00Z
ref-machine-chest-press-plate-loaded-02-prog,machine-chest-press-plate-loaded,dumbbell-bench-press-flat,Жим гантелей лежа на горизонтальной скамье,progression,skill-development,82,"Следующий шаг после тренажёра: требует симметричной стабилизации и контроля плеч при свободных весах",2025-11-09T00:00:00Z
ref-dumbbell-bench-press-flat-02-prog,dumbbell-bench-press-flat,barbell-bench-press,Жим штанги лежа на горизонтальной скамье,progression,skill-development,88,"Позволяет работать с большими весами и требует более высокой силовой и технической готовности",2025-11-09T00:00:00Z
ref-barbell-bench-press-03-reg,barbell-bench-press,dumbbell-bench-press-flat,Жим гантелей лежа на горизонтальной скамье,regression,difficulty-adjustment,85,"Возврат к гантелям снижает вес, улучшает контроль амплитуды и позволяет работать без страховщика",2025-11-09T00:00:00Z
ref-dumbbell-bench-press-flat-03-alt,dumbbell-bench-press-flat,smith-machine-bench-press,Жим лежа в машине Смита,alternative,equipment-availability,80,"Подходит тем, кто предпочитает фиксированную траекторию и тренировку без партнёра",2025-11-09T00:00:00Z
ref-smith-machine-bench-press-04-alt,smith-machine-bench-press,dumbbell-bench-press-flat,Жим гантелей лежа на горизонтальной скамье,alternative,equipment-availability,78,"Свободные веса расширяют амплитуду и развивают симметричную стабилизацию, если доступны гантели",2025-11-09T00:00:00Z
ref-barbell-bench-press-04-reg,barbell-bench-press,machine-chest-press-plate-loaded,Жим от груди в рычажном тренажере,regression,difficulty-adjustment,83,"Фиксированная траектория снижает требования к стабилизаторам плеч и позволяет безопасно отрабатывать технику без тяжёлых рабочих весов.",2025-11-09T00:00:00Z
ref-machine-chest-press-plate-loaded-03-prog,machine-chest-press-plate-loaded,barbell-bench-press,Жим штанги лежа на горизонтальной скамье,progression,skill-development,86,"После освоения тренажёра переход к свободному весу развивает стабилизацию и позволяет нарастить рабочий вес.",2025-11-09T00:00:00Z
ref-barbell-bench-press-05-prog,barbell-bench-press,ring-push-ups,Отжимания на кольцах,progression,skill-development,88,"Кольца создают нестабильную опору, заставляя грудь и плечи работать в полном диапазоне при высоких требованиях к контролю корпуса.",2025-11-09T00:00:00Z
ref-ring-push-ups-01-reg,ring-push-ups,barbell-bench-press,Жим штанги лежа на горизонтальной скамье,regression,difficulty-adjustment,84,"Стабильная скамья позволяет сохранить силу груди без избыточной нестабильности, пока техника на кольцах не станет уверенной.",2025-11-09T00:00:00Z
ref-barbell-bench-press-06-alt,barbell-bench-press,neutral-grip-barbell-bench-press,Жим штанги с нейтральным хватом,alternative,injury-management,82,"Нейтральный хват разгружает плечевые и лучезапястные суставы при сопоставимой силовой нагрузке на грудь.",2025-11-09T00:00:00Z
ref-neutral-grip-barbell-bench-press-01-alt,neutral-grip-barbell-bench-press,barbell-bench-press,Жим штанги лежа на горизонтальной скамье,alternative,injury-management,82,"Возврат к прямому грифу возможен при отсутствии боли в плечах для максимального развития силы и привычной техники.",2025-11-09T00:00:00Z
