id,exercise_id,step_number,instruction,created_at
1,dumbbell-bench-press-flat,1,"Лягте на горизонтальную скамью, плотно прижав лопатки и ягодицы к поверхности. Стопы должны быть устойчиво поставлены на пол.",2024-01-15T10:00:00Z
2,dumbbell-bench-press-flat,2,"Возьмите гантели в руки и поднимите их над грудью, руки на ширине плеч, локти слегка согнуты. Это исходное положение.",2024-01-15T10:00:00Z
3,dumbbell-bench-press-flat,3,"Медленно опустите гантели к груди, контролируя движение. Опускайте до легкого касания груди или до комфортного растяжения.",2024-01-15T10:00:00Z
4,dumbbell-bench-press-flat,4,"Сделайте паузу на 1 секунду в нижней точке, затем мощно выжмите гантели вверх, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
5,dumbbell-bench-press-flat,5,"В верхней точке сведите гантели вместе, сжимая грудные мышцы, затем повторите движение.",2024-01-15T10:00:00Z
6,barbell-bench-press,1,"Лягте на горизонтальную скамью, плотно прижав лопатки и ягодицы к поверхности. Стопы должны быть устойчиво поставлены на пол.",2024-01-15T10:00:00Z
7,barbell-bench-press,2,"Возьмите штангу хватом шире плеч и снимите ее со стоек. Держите штангу над грудью, руки полностью выпрямлены. Это исходное положение.",2024-01-15T10:00:00Z
8,barbell-bench-press,3,"Медленно опустите штангу к груди, контролируя движение. Опускайте до легкого касания груди или до комфортного растяжения.",2024-01-15T10:00:00Z
9,barbell-bench-press,4,"Сделайте паузу на 1 секунду в нижней точке, затем мощно выжмите штангу вверх, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
10,barbell-bench-press,5,"В верхней точке полностью выпрямите руки, затем повторите движение. Всегда используйте страховщика при работе с большими весами.",2024-01-15T10:00:00Z
11,push-ups,1,"Примите положение планки: руки на ширине плеч, ладони на полу, тело выпрямлено от головы до пяток. Напрягите кор.",2024-01-15T10:00:00Z
12,push-ups,2,"Медленно опустите тело вниз, сгибая руки в локтях. Опускайтесь до тех пор, пока грудь почти не коснется пола.",2024-01-15T10:00:00Z
13,push-ups,3,"Сделайте паузу на 1 секунду в нижней точке, затем мощно оттолкнитесь от пола, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
14,push-ups,4,"В верхней точке полностью выпрямите руки, затем повторите движение. Держите кор напряженным на протяжении всего упражнения.",2024-01-15T10:00:00Z
15,incline-dumbbell-press,1,"Установите скамью под углом 30-45 градусов и лягте на неё, плотно прижав лопатки и ягодицы к поверхности. Стопы должны быть устойчиво поставлены на пол.",2024-01-15T10:00:00Z
16,incline-dumbbell-press,2,"Возьмите гантели в руки и поднимите их над верхней частью груди, руки на ширине плеч, локти слегка согнуты. Это исходное положение.",2024-01-15T10:00:00Z
17,incline-dumbbell-press,3,"Медленно опустите гантели к верхней части груди, контролируя движение. Опускайте до легкого касания груди или до комфортного растяжения.",2024-01-15T10:00:00Z
18,incline-dumbbell-press,4,"Сделайте паузу на 1 секунду в нижней точке, затем мощно выжмите гантели вверх, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
19,incline-dumbbell-press,5,"В верхней точке сведите гантели вместе, сжимая верхнюю часть грудных мышц, затем повторите движение.",2024-01-15T10:00:00Z
20,dips-chest-focus,1,"Подойдите к брусьям и возьмитесь за них хватом чуть шире плеч. Поднимитесь в исходное положение, руки полностью выпрямлены, корпус слегка наклонен вперед.",2024-01-15T10:00:00Z
21,dips-chest-focus,2,"Медленно опустите тело вниз, сгибая руки в локтях. Опускайтесь до комфортного растяжения в плечевых суставах, но не ниже.",2024-01-15T10:00:00Z
22,dips-chest-focus,3,"Сделайте паузу на 1 секунду в нижней точке, затем мощно оттолкнитесь от брусьев, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
23,dips-chest-focus,4,"В верхней точке полностью выпрямите руки, затем повторите движение. Держите корпус слегка наклоненным вперед для акцента на грудь.",2024-01-15T10:00:00Z
24,dips-chest-focus,5,"Контролируйте движение на всех фазах, не раскачивайтесь и не используйте инерцию. Дышите ритмично.",2024-01-15T10:00:00Z
25,machine-chest-press-plate-loaded,1,"Сядьте в тренажер и отрегулируйте высоту сиденья так, чтобы рукоятки находились на уровне груди. Плотно прижмите спину к спинке.",2024-01-15T10:00:00Z
26,machine-chest-press-plate-loaded,2,Возьмитесь за рукоятки хватом чуть шире плеч. Стопы должны быть устойчиво поставлены на пол. Это исходное положение.,2024-01-15T10:00:00Z
27,machine-chest-press-plate-loaded,3,"Медленно опустите рукоятки к груди, контролируя движение. Опускайте до комфортного растяжения грудных мышц.",2024-01-15T10:00:00Z
28,machine-chest-press-plate-loaded,4,"Сделайте паузу на 1 секунду в нижней точке, затем мощно выжмите рукоятки вперед, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
29,machine-chest-press-plate-loaded,5,"В верхней точке полностью выпрямите руки, затем повторите движение. Держите корпус стабильным на протяжении всего упражнения.",2024-01-15T10:00:00Z
30,smith-machine-bench-press,1,"Лягте на горизонтальную скамью в машине Смита, плотно прижав лопатки и ягодицы к поверхности. Стопы должны быть устойчиво поставлены на пол.",2024-01-15T10:00:00Z
31,smith-machine-bench-press,2,"Возьмите штангу хватом шире плеч и снимите ее с фиксаторов. Держите штангу над грудью, руки полностью выпрямлены. Это исходное положение.",2024-01-15T10:00:00Z
32,smith-machine-bench-press,3,"Медленно опустите штангу к груди, контролируя движение. Опускайте до легкого касания груди или до комфортного растяжения.",2024-01-15T10:00:00Z
33,smith-machine-bench-press,4,"Сделайте паузу на 1 секунду в нижней точке, затем мощно выжмите штангу вверх, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
34,smith-machine-bench-press,5,"В верхней точке полностью выпрямите руки, затем повторите движение. Фиксированная траектория обеспечивает безопасность без страховщика.",2024-01-15T10:00:00Z
35,decline-dumbbell-press,1,"Установите скамью под углом -15-30 градусов и лягте на неё, зафиксировав ноги в упорах. Плотно прижмите лопатки и ягодицы к поверхности.",2024-01-15T10:00:00Z
36,decline-dumbbell-press,2,"Возьмите гантели в руки и поднимите их над нижней частью груди, руки на ширине плеч, локти слегка согнуты. Это исходное положение.",2024-01-15T10:00:00Z
37,decline-dumbbell-press,3,"Медленно опустите гантели к нижней части груди, контролируя движение. Опускайте до легкого касания груди или до комфортного растяжения.",2024-01-15T10:00:00Z
38,decline-dumbbell-press,4,"Сделайте паузу на 1 секунду в нижней точке, затем мощно выжмите гантели вверх, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
39,decline-dumbbell-press,5,"В верхней точке сведите гантели вместе, сжимая нижнюю часть грудных мышц, затем повторите движение.",2024-01-15T10:00:00Z
40,push-ups-on-handles,1,"Поставьте упоры для отжиманий на ширине плеч и примите положение планки: руки на упорах, тело выпрямлено от головы до пяток. Напрягите кор.",2024-01-15T10:00:00Z
41,push-ups-on-handles,2,"Медленно опустите тело вниз, сгибая руки в локтях. Опускайтесь ниже, чем при обычных отжиманиях, используя увеличенный диапазон движения.",2024-01-15T10:00:00Z
42,push-ups-on-handles,3,"Сделайте паузу на 1 секунду в нижней точке, затем мощно оттолкнитесь от упоров, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
43,push-ups-on-handles,4,"В верхней точке полностью выпрямите руки, затем повторите движение. Держите кор напряженным на протяжении всего упражнения.",2024-01-15T10:00:00Z
44,push-ups-on-handles,5,"Контролируйте движение на всех фазах, используя увеличенный диапазон для лучшего растяжения грудных мышц.",2024-01-15T10:00:00Z
45,dumbbell-fly-flat-bench,1,"Лягте на горизонтальную скамью, плотно прижав лопатки и ягодицы к поверхности. Стопы должны быть устойчиво поставлены на пол.",2024-01-15T10:00:00Z
46,dumbbell-fly-flat-bench,2,"Поднимите гантели над грудью, слегка согнув локти под углом 10-15 градусов. Это исходное положение для разведения.",2024-01-15T10:00:00Z
47,dumbbell-fly-flat-bench,3,"На вдохе медленно разведите руки в стороны по широкой дуге, контролируя движение и сохраняя угол в локтях.",2024-01-15T10:00:00Z
48,dumbbell-fly-flat-bench,4,"Опускайте гантели до ощущения растяжения в груди, но не ниже уровня плеч. Локти должны оставаться на уровне плеч.",2024-01-15T10:00:00Z
49,dumbbell-fly-flat-bench,5,"На выдохе сведите гантели по той же траектории, сжимая грудные мышцы в верхней точке.",2024-01-15T10:00:00Z
50,dumbbell-fly-flat-bench,6,"Сохраняйте угол в локтях постоянным на протяжении всего движения, не выпрямляя руки полностью.",2024-01-15T10:00:00Z
51,dumbbell-fly-floor,1,"Лягте на пол, плотно прижав лопатки и ягодицы к поверхности. Согните ноги в коленях и поставьте стопы устойчиво на пол.",2024-01-15T10:00:00Z
52,dumbbell-fly-floor,2,"Поднимите гантели над грудью, слегка согнув локти под углом 10-15 градусов. Это исходное положение.",2024-01-15T10:00:00Z
53,dumbbell-fly-floor,3,"На вдохе медленно разведите руки в стороны, контролируя движение и сохраняя угол в локтях.",2024-01-15T10:00:00Z
54,dumbbell-fly-floor,4,Опускайте гантели до легкого касания локтями пола. Ограниченная амплитуда защищает плечевые суставы.,2024-01-15T10:00:00Z
55,dumbbell-fly-floor,5,"На выдохе сведите гантели по той же траектории, сжимая грудные мышцы в верхней точке.",2024-01-15T10:00:00Z
56,dumbbell-fly-incline-bench,1,"Установите скамью под углом 30-45 градусов и лягте на неё, плотно прижав лопатки и ягодицы к поверхности.",2024-01-15T10:00:00Z
57,dumbbell-fly-incline-bench,2,"Поднимите гантели над верхней частью груди, слегка согнув локти под углом 10-15 градусов. Это исходное положение.",2024-01-15T10:00:00Z
58,dumbbell-fly-incline-bench,3,"На вдохе медленно разведите руки в стороны по широкой дуге, контролируя движение и сохраняя угол в локтях.",2024-01-15T10:00:00Z
59,dumbbell-fly-incline-bench,4,"Опускайте гантели до ощущения растяжения в верхней части груди, но не ниже уровня плеч.",2024-01-15T10:00:00Z
60,dumbbell-fly-incline-bench,5,"На выдохе сведите гантели по той же траектории, сжимая верхнюю часть грудных мышц в верхней точке.",2024-01-15T10:00:00Z
61,cable-fly-flat,1,"Установите кабели кроссовера на уровне груди и лягте на горизонтальную скамью между стойками.",2024-01-15T10:00:00Z
62,cable-fly-flat,2,"Возьмите рукоятки кабелей в руки, слегка согнув локти под углом 10-15 градусов. Это исходное положение.",2024-01-15T10:00:00Z
63,cable-fly-flat,3,"На вдохе медленно разведите руки в стороны по широкой дуге, контролируя постоянное натяжение кабелей.",2024-01-15T10:00:00Z
64,cable-fly-flat,4,"Опускайте руки до ощущения растяжения в груди, но не ниже уровня плеч. Сохраняйте натяжение кабелей.",2024-01-15T10:00:00Z
65,cable-fly-flat,5,"На выдохе сведите руки по той же траектории, сжимая грудные мышцы в верхней точке с постоянным натяжением.",2024-01-15T10:00:00Z
66,cable-fly-standing,1,"Встаньте между стойками кроссовера, установите кабели на уровне груди. Ноги на ширине плеч, слегка согнуты в коленях.",2024-01-15T10:00:00Z
67,cable-fly-standing,2,"Возьмите рукоятки кабелей в руки, слегка согнув локти под углом 10-15 градусов. Стойте прямо, напрягите корпус.",2024-01-15T10:00:00Z
68,cable-fly-standing,3,"На вдохе медленно разведите руки в стороны по широкой дуге, контролируя постоянное натяжение кабелей.",2024-01-15T10:00:00Z
69,cable-fly-standing,4,"Опускайте руки до ощущения растяжения в груди, но не ниже уровня плеч. Сохраняйте стабильность корпуса.",2024-01-15T10:00:00Z
70,cable-fly-standing,5,"На выдохе сведите руки по той же траектории, сжимая грудные мышцы в верхней точке с постоянным натяжением.",2024-01-15T10:00:00Z
71,pec-deck-fly,1,"Сядьте в тренажер Пек-дек, отрегулируйте высоту сиденья так, чтобы рукоятки находились на уровне груди.",2024-01-15T10:00:00Z
72,pec-deck-fly,2,"Возьмите рукоятки тренажера, слегка согнув локти под углом 10-15 градусов. Прижмите спину к спинке сиденья.",2024-01-15T10:00:00Z
73,pec-deck-fly,3,"На вдохе медленно разведите руки в стороны, контролируя движение и сохраняя угол в локтях.",2024-01-15T10:00:00Z
74,pec-deck-fly,4,"Опускайте руки до ощущения растяжения в груди, но не ниже уровня плеч. Фиксированная траектория обеспечивает безопасность.",2024-01-15T10:00:00Z
75,pec-deck-fly,5,"На выдохе сведите руки по фиксированной траектории, сжимая грудные мышцы в верхней точке.",2024-01-15T10:00:00Z
76,cable-crossover-low-to-high,1,"Встаньте между стойками кроссовера, установите кабели в нижнем положении. Ноги на ширине плеч, слегка согнуты в коленях.",2024-01-15T10:00:00Z
77,cable-crossover-low-to-high,2,"Возьмите рукоятки кабелей в руки, слегка согнув локти под углом 10-15 градусов. Стойте прямо, напрягите корпус.",2024-01-15T10:00:00Z
78,cable-crossover-low-to-high,3,"На вдохе медленно разведите руки в стороны и вверх по широкой дуге, контролируя постоянное натяжение кабелей.",2024-01-15T10:00:00Z
79,cable-crossover-low-to-high,4,"Опускайте руки до ощущения растяжения в верхней части груди, но не ниже уровня плеч. Сохраняйте стабильность корпуса.",2024-01-15T10:00:00Z
80,cable-crossover-low-to-high,5,"На выдохе сведите руки по той же траектории, сжимая верхнюю часть грудных мышц в верхней точке с постоянным натяжением.",2024-01-15T10:00:00Z
81,dumbbell-pullover,1,"Лягте на горизонтальную скамью, держа гантель обеими руками за один конец. Ноги на полу, спина прижата к скамье.",2024-01-15T10:00:00Z
82,dumbbell-pullover,2,"Начните с гантели над грудью, руки слегка согнуты в локтях. Сделайте глубокий вдох.",2024-01-15T10:00:00Z
83,dumbbell-pullover,3,"На вдохе медленно опустите гантель за голову по широкой дуге, контролируя движение и чувствуя растяжение в груди.",2024-01-15T10:00:00Z
84,dumbbell-pullover,4,"Опускайте гантель до ощущения растяжения в грудных мышцах и широчайших, но не ниже уровня головы.",2024-01-15T10:00:00Z
85,dumbbell-pullover,5,"На выдохе медленно поднимите гантель по той же траектории, сжимая грудные мышцы в верхней точке.",2024-01-15T10:00:00Z
86,resistance-band-fly,1,"Встаньте прямо, ноги на ширине плеч, возьмите резиновую ленту в руки. Лента должна быть натянута перед грудью.",2024-01-15T10:00:00Z
87,resistance-band-fly,2,"Начните с рук перед грудью, слегка согнув локти под углом 10-15 градусов. Сделайте глубокий вдох.",2024-01-15T10:00:00Z
88,resistance-band-fly,3,"На вдохе медленно разведите руки в стороны, контролируя постоянное натяжение ленты и чувствуя сопротивление.",2024-01-15T10:00:00Z
89,resistance-band-fly,4,"Разводите руки до ощущения растяжения в грудных мышцах, но не ниже уровня плеч. Сохраняйте стабильность корпуса.",2024-01-15T10:00:00Z
90,resistance-band-fly,5,"На выдохе медленно сведите руки по той же траектории, сжимая грудные мышцы в верхней точке с постоянным натяжением.",2024-01-15T10:00:00Z
91,incline-barbell-bench-press,1,"Установите наклонную скамью под углом 30-45 градусов и лягте на неё, плотно прижав лопатки и ягодицы к поверхности. Стопы должны быть устойчиво поставлены на пол.",2024-01-15T10:00:00Z
92,incline-barbell-bench-press,2,"Возьмите штангу хватом чуть шире плеч и снимите ее со стоек. Держите штангу над верхней частью груди, руки полностью выпрямлены. Это исходное положение.",2024-01-15T10:00:00Z
93,incline-barbell-bench-press,3,"Медленно опустите штангу к верхней части груди, контролируя движение. Опускайте до легкого касания груди или до комфортного растяжения.",2024-01-15T10:00:00Z
94,incline-barbell-bench-press,4,"Сделайте паузу на 1 секунду в нижней точке, затем мощно выжмите штангу вверх, возвращаясь в исходное положение.",2024-01-15T10:00:00Z
95,incline-barbell-bench-press,5,"В верхней точке полностью выпрямите руки, затем повторите движение. Всегда используйте страховщика при работе с большими весами.",2024-01-15T10:00:00Z
