id,exercise_id,level,message,related_body_part,recommendations,created_at
1,dumbbell-bench-press-flat,critical,Никогда не выполняйте упражнение без страховщика при работе с большими весами. Падение гантели может привести к серьезным травмам.,shoulder,"{""recommendations"":[""Используйте страховщика при работе с весами более 80% от максимума"",""Начинайте с легких весов для освоения техники"",""Используйте ограничители на скамье если они доступны""]}",2024-01-15T10:00:00Z
2,dumbbell-bench-press-flat,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите лопатки сведенными и прижатыми к скамье"",""Не опускайте гантели слишком низко"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
3,dumbbell-bench-press-flat,notice,"Контролируйте дыхание - не задерживайте его во время выполнения упражнения, это может повысить артериальное давление.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и ритмично"",""При головокружении прекратите упражнение""]}",2024-01-15T10:00:00Z
4,barbell-bench-press,critical,НИКОГДА не выполняйте жим штанги без страховщика! Падение штанги может привести к смертельным травмам.,shoulder,"{""recommendations"":[""Обязательно используйте страховщика при работе с любыми весами"",""Проверьте надежность стоек и замков"",""При работе в одиночку используйте ограничители""]}",2024-01-15T10:00:00Z
5,barbell-bench-press,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите лопатки сведенными и прижатыми к скамье"",""Не опускайте штангу слишком низко"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
6,barbell-bench-press,notice,"Контролируйте дыхание - используйте технику Вальсальвы при максимальных весах, но не задерживайте дыхание надолго.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""При максимальных весах допустима кратковременная задержка дыхания"",""При головокружении немедленно прекратите упражнение""]}",2024-01-15T10:00:00Z
7,push-ups,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите лопатки стабильными"",""Не опускайтесь слишком низко при проблемах с плечами"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
8,push-ups,notice,"Контролируйте дыхание - не задерживайте его во время выполнения упражнения, это может повысить артериальное давление.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и ритмично"",""При головокружении прекратите упражнение""]}",2024-01-15T10:00:00Z
9,incline-dumbbell-press,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите лопатки сведенными и прижатыми к скамье"",""Не опускайте гантели слишком низко"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
10,incline-dumbbell-press,notice,"Контролируйте дыхание - не задерживайте его во время выполнения упражнения, это может повысить артериальное давление.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и ритмично"",""При головокружении прекратите упражнение""]}",2024-01-15T10:00:00Z
11,dips-chest-focus,critical,НИКОГДА не опускайтесь слишком глубоко! Это может привести к серьезным травмам плечевых суставов и растяжению связок.,shoulder,"{""recommendations"":[""Опускайтесь только до комфортного растяжения"",""При дискомфорте в плечах уменьшите амплитуду"",""Начинайте с частичной амплитуды для освоения техники""]}",2024-01-15T10:00:00Z
12,dips-chest-focus,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите плечи стабильными"",""Не опускайтесь слишком низко при проблемах с плечами"",""При дискомфорте в плечах прекратите упражнение""]}",2024-01-15T10:00:00Z
13,machine-chest-press-plate-loaded,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите плечи стабильными"",""Не опускайте рукоятки слишком низко"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
14,machine-chest-press-plate-loaded,notice,"Контролируйте дыхание - не задерживайте его во время выполнения упражнения, это может повысить артериальное давление.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и ритмично"",""При головокружении прекратите упражнение""]}",2024-01-15T10:00:00Z
15,smith-machine-bench-press,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите лопатки сведенными и прижатыми к скамье"",""Не опускайте штангу слишком низко"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
16,smith-machine-bench-press,notice,"Контролируйте дыхание - не задерживайте его во время выполнения упражнения, это может повысить артериальное давление.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и ритмично"",""При головокружении прекратите упражнение""]}",2024-01-15T10:00:00Z
17,decline-dumbbell-press,critical,Надежно зафиксируйте ноги в упорах скамьи! Соскальзывание может привести к падению и серьезным травмам головы.,head,"{""recommendations"":[""Убедитесь в надежной фиксации ног перед началом"",""Используйте скамью с качественными упорами"",""При необходимости попросите страховщика""]}",2024-01-15T10:00:00Z
18,decline-dumbbell-press,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите лопатки сведенными и прижатыми к скамье"",""Не опускайте гантели слишком низко"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
19,decline-dumbbell-press,notice,"Контролируйте дыхание - не задерживайте его во время выполнения упражнения, это может повысить артериальное давление и головокружение.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и ритмично"",""При головокружении немедленно прекратите упражнение""]}",2024-01-15T10:00:00Z
20,push-ups-on-handles,important,Следите за положением плеч - они не должны выходить вперед за линию груди. Это может привести к травме плечевого сустава.,shoulder,"{""recommendations"":[""Держите плечи стабильными"",""Не опускайтесь слишком низко при проблемах с плечами"",""При дискомфорте в плечах уменьшите амплитуду движения""]}",2024-01-15T10:00:00Z
21,push-ups-on-handles,notice,"Контролируйте дыхание - не задерживайте его во время выполнения упражнения, это может повысить артериальное давление.",spine,"{""recommendations"":[""Вдох при опускании, выдох при подъеме"",""Дышите глубоко и ритмично"",""При головокружении прекратите упражнение""]}",2024-01-15T10:00:00Z
22,dumbbell-fly-flat-bench,important,Сохраняйте небольшой сгиб в локтях на протяжении всего движения - выпрямление рук может привести к травме локтевого сустава.,elbow,"{""recommendations"":[""Держите угол в локтях 10-15 градусов постоянно"",""Представьте, что держите мяч между руками"",""При усталости уменьшите вес гантелей""]}",2024-01-15T10:00:00Z
