id,exercise_id,tip,created_at
1,dumbbell-bench-press-flat,"Вдохните глубоко перед началом движения вниз, это поможет стабилизировать корпус и подготовить мышцы к нагрузке.",2024-01-15T10:00:00Z
2,dumbbell-bench-press-flat,"Выдыхайте мощно и контролируемо при подъеме гантелей, это поможет генерировать больше силы и поддерживать стабильность.",2024-01-15T10:00:00Z
3,dumbbell-bench-press-flat,Не задерживайте дыхание в верхней точке - продолжайте дышать ритмично для поддержания оптимального кровяного давления.,2024-01-15T10:00:00Z
4,barbell-bench-press,"Вдохните глубоко перед началом движения вниз, это поможет стабилизировать корпус и подготовить мышцы к максимальной нагрузке.",2024-01-15T10:00:00Z
5,barbell-bench-press,"Выдыхайте мощно и контролируемо при подъеме штанги, это поможет генерировать максимальную силу и поддерживать стабильность.",2024-01-15T10:00:00Z
6,barbell-bench-press,При работе с максимальными весами допустимо кратковременное использование техники Вальсальвы для дополнительной стабилизации.,2024-01-15T10:00:00Z
7,push-ups,"Вдохните глубоко перед началом движения вниз, это поможет стабилизировать корпус и подготовить мышцы к нагрузке.",2024-01-15T10:00:00Z
8,push-ups,"Выдыхайте мощно и контролируемо при подъеме тела, это поможет генерировать больше силы и поддерживать стабильность.",2024-01-15T10:00:00Z
9,push-ups,Не задерживайте дыхание в верхней точке - продолжайте дышать ритмично для поддержания оптимального кровяного давления.,2024-01-15T10:00:00Z
10,incline-dumbbell-press,"Вдохните глубоко перед началом движения вниз, это поможет стабилизировать корпус и подготовить мышцы к нагрузке.",2024-01-15T10:00:00Z
11,incline-dumbbell-press,"Выдыхайте мощно и контролируемо при подъеме гантелей, это поможет генерировать больше силы и поддерживать стабильность.",2024-01-15T10:00:00Z
12,incline-dumbbell-press,Не задерживайте дыхание в верхней точке - продолжайте дышать ритмично для поддержания оптимального кровяного давления.,2024-01-15T10:00:00Z
13,dips-chest-focus,"Вдохните глубоко перед началом движения вниз, это поможет стабилизировать корпус и подготовить мышцы к нагрузке.",2024-01-15T10:00:00Z
14,dips-chest-focus,"Выдыхайте мощно и контролируемо при подъеме тела, это поможет генерировать больше силы и поддерживать стабильность.",2024-01-15T10:00:00Z
15,dips-chest-focus,Не задерживайте дыхание в нижней точке - продолжайте дышать ритмично для поддержания оптимального кровяного давления.,2024-01-15T10:00:00Z
16,machine-chest-press-plate-loaded,"Вдохните глубоко перед началом движения назад (к груди), это поможет стабилизировать корпус и подготовить мышцы к нагрузке.",2024-01-15T10:00:00Z
17,machine-chest-press-plate-loaded,"Выдыхайте мощно и контролируемо при жиме рукояток вперед, это поможет генерировать больше силы и поддерживать стабильность.",2024-01-15T10:00:00Z
18,machine-chest-press-plate-loaded,Не задерживайте дыхание в верхней точке - продолжайте дышать ритмично для поддержания оптимального кровяного давления.,2024-01-15T10:00:00Z
19,smith-machine-bench-press,"Вдохните глубоко перед началом движения вниз, это поможет стабилизировать корпус и подготовить мышцы к нагрузке.",2024-01-15T10:00:00Z
20,smith-machine-bench-press,"Выдыхайте мощно и контролируемо при подъеме штанги, это поможет генерировать больше силы и поддерживать стабильность.",2024-01-15T10:00:00Z
21,smith-machine-bench-press,Не задерживайте дыхание в верхней точке - продолжайте дышать ритмично для поддержания оптимального кровяного давления.,2024-01-15T10:00:00Z
22,decline-dumbbell-press,"Вдохните глубоко перед началом движения вниз, это поможет стабилизировать корпус и подготовить мышцы к нагрузке.",2024-01-15T10:00:00Z
23,decline-dumbbell-press,"Выдыхайте мощно и контролируемо при подъеме гантелей, это поможет генерировать больше силы и поддерживать стабильность.",2024-01-15T10:00:00Z
24,decline-dumbbell-press,Не задерживайте дыхание в верхней точке - продолжайте дышать ритмично для поддержания оптимального кровяного давления.,2024-01-15T10:00:00Z
25,push-ups-on-handles,"Вдохните глубоко перед началом движения вниз, это поможет стабилизировать корпус и подготовить мышцы к нагрузке.",2024-01-15T10:00:00Z
26,push-ups-on-handles,"Выдыхайте мощно и контролируемо при подъеме тела, это поможет генерировать больше силы и поддерживать стабильность.",2024-01-15T10:00:00Z
27,push-ups-on-handles,Не задерживайте дыхание в верхней точке - продолжайте дышать ритмично для поддержания оптимального кровяного давления.,2024-01-15T10:00:00Z
28,dumbbell-fly-flat-bench,"Вдохните глубоко при разведении гантелей в стороны, это поможет растянуть грудные мышцы и подготовить их к сокращению.",2024-01-15T10:00:00Z
29,dumbbell-fly-flat-bench,"Выдыхайте медленно и контролируемо при сведении гантелей, это поможет сжать грудные мышцы и поддерживать напряжение.",2024-01-15T10:00:00Z
30,dumbbell-fly-flat-bench,Не задерживайте дыхание в растянутой позиции - это может повысить давление и снизить эффективность упражнения.,2024-01-15T10:00:00Z
31,dumbbell-fly-floor,"Вдохните глубоко при разведении гантелей, ограниченная амплитуда позволяет лучше контролировать дыхание.",2024-01-15T10:00:00Z
