id,exercise_id,url,type,alt_text,duration,thumbnail_url,width,height,is_primary,sort_order,created_at
1,dumbbell-bench-press-flat,https://example.com/media/dumbbell-bench-press-flat.jpg,image,"Жим гантелей на горизонтальной скамье - правильная техника выполнения",,,800,600,true,1,2024-01-15T10:00:00Z
2,barbell-bench-press,https://example.com/media/barbell-bench-press.jpg,image,"Жим штанги лежа на горизонтальной скамье - правильная техника выполнения",,,800,600,true,1,2024-01-15T10:00:00Z
3,push-ups,https://example.com/media/push-ups.jpg,image,"Отжимания от пола - правильная техника выполнения",,,800,600,true,1,2024-01-15T10:00:00Z
4,incline-dumbbell-press,https://example.com/media/incline-dumbbell-press.jpg,image,"Жим гантелей на наклонной скамье - правильная техника выполнения",,,800,600,true,1,2024-01-15T10:00:00Z
5,dips-chest-focus,https://example.com/media/dips-chest-focus.jpg,image,"Отжимания на брусьях с акцентом на грудь - правильная техника выполнения",,,800,600,true,1,2024-01-15T10:00:00Z
6,machine-chest-press-plate-loaded,https://example.com/media/machine-chest-press-plate-loaded.jpg,image,"Жим от груди в рычажном тренажере - правильная техника выполнения",,,800,600,true,1,2024-01-15T10:00:00Z
7,smith-machine-bench-press,https://example.com/media/smith-machine-bench-press.jpg,image,"Жим лежа в машине Смита - правильная техника выполнения",,,800,600,true,1,2024-01-15T10:00:00Z
8,decline-dumbbell-press,https://example.com/media/decline-dumbbell-press.jpg,image,"Жим гантелей на скамье с отрицательным наклоном - правильная техника выполнения",,,800,600,true,1,2024-01-15T10:00:00Z
9,push-ups-on-handles,https://example.com/media/push-ups-on-handles.jpg,image,"Отжимания на упорах - правильная техника выполнения",,,800,600,true,1,2024-01-15T10:00:00Z
10,dumbbell-fly-flat-bench,https://example.com/media/dumbbell-fly-flat-bench.jpg,image,"Разведение гантелей лежа на горизонтальной скамье - правильная техника выполнения",,,800,600,true,1,2024-01-15T10:00:00Z
