exercise_id,force,breathing_eccentric,breathing_concentric,breathing_description,programming,muscle_details,created_at,updated_at
dumbbell-bench-press-flat,push,Вдох,Выдох,"Вдох при опускании гантелей к груди, выдох при жиме вверх. Дышите глубоко и контролируемо, не задерживайте дыхание.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":6,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
barbell-bench-press,push,Вдох,Выдох,"Вдох при опускании штанги к груди, выдох при жиме вверх. Дышите глубоко и контролируемо, используйте технику Вальсальвы при максимальных весах.","{""sets"":{""min"":3,""max"":6},""reps"":{""min"":3,""max"":10},""rest"":{""min"":180,""max"":300},""tempo"":""3-1-1-0"",""intensity"":{""min"":80,""max"":95}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""latissimus-dorsi""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
push-ups,push,Вдох,Выдох,"Вдох при опускании тела вниз, выдох при подъеме вверх. Дышите ритмично и контролируемо, не задерживайте дыхание.","{""sets"":{""min"":2,""max"":5},""reps"":{""min"":8,""max"":25},""rest"":{""min"":60,""max"":120},""tempo"":""2-1-1-0"",""intensity"":{""min"":60,""max"":80}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""erector-spinae""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
incline-dumbbell-press,push,Вдох,Выдох,"Вдох при опускании гантелей к груди, выдох при жиме вверх. Дышите глубоко и контролируемо, не задерживайте дыхание.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":6,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""upper-pectoralis"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
dips-chest-focus,push,Вдох,Выдох,"Вдох при опускании тела вниз, выдох при подъеме вверх. Дышите глубоко и контролируемо, не задерживайте дыхание в нижней точке.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":6,""max"":15},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""latissimus-dorsi""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
machine-chest-press-plate-loaded,push,Вдох,Выдох,"Вдох при опускании рукояток к груди, выдох при жиме вперед. Дышите глубоко и контролируемо, не задерживайте дыхание.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":8,""max"":15},""rest"":{""min"":90,""max"":150},""tempo"":""2-1-1-0"",""intensity"":{""min"":65,""max"":80}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
smith-machine-bench-press,push,Вдох,Выдох,"Вдох при опускании штанги к груди, выдох при жиме вверх. Дышите глубоко и контролируемо, не задерживайте дыхание.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":6,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
decline-dumbbell-press,push,Вдох,Выдох,"Вдох при опускании гантелей к нижней части груди, выдох при жиме вверх. Дышите глубоко и контролируемо, не задерживайте дыхание.","{""sets"":{""min"":3,""max"":5},""reps"":{""min"":6,""max"":12},""rest"":{""min"":120,""max"":180},""tempo"":""3-1-1-0"",""intensity"":{""min"":70,""max"":85}}","{""primary_muscles"":[""lower-pectoralis"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
push-ups-on-handles,push,Вдох,Выдох,"Вдох при опускании тела вниз, выдох при подъеме вверх. Дышите ритмично и контролируемо, не задерживайте дыхание.","{""sets"":{""min"":2,""max"":5},""reps"":{""min"":8,""max"":20},""rest"":{""min"":60,""max"":120},""tempo"":""2-1-1-0"",""intensity"":{""min"":60,""max"":80}}","{""primary_muscles"":[""pectoralis-major"",""anterior-deltoid"",""triceps-brachii""],""secondary_muscles"":[""serratus-anterior"",""core-muscles""],""stabilizers"":[""rhomboids"",""trapezius"",""erector-spinae""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
dumbbell-fly-flat-bench,push,Вдох,Выдох,"Вдох при разведении гантелей в стороны, выдох при сведении к центру. Дышите глубоко и контролируемо, не задерживайте дыхание в растянутой позиции.","{""sets"":{""min"":3,""max"":4},""reps"":{""min"":10,""max"":15},""rest"":{""min"":90,""max"":120},""tempo"":""3-1-2-0"",""intensity"":{""min"":60,""max"":75}}","{""primary_muscles"":[""pectoralis-major""],""secondary_muscles"":[""anterior-deltoid"",""serratus-anterior""],""stabilizers"":[""biceps-brachii"",""core-muscles""]}",2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
