id,keyword,description
1,отжимания,Русское название упражнения
2,push-up,Английское название упражнения
3,pushup,Альтернативное написание
4,отжимание,Единственное число
5,планка,Связанное упражнение
6,грудь,Целевая мышечная группа
7,плечи,Вспомогательная мышечная группа
8,трицепс,Вспомогательная мышечная группа
9,пресс,Стабилизирующие мышцы
10,собственный вес,Тип нагрузки
11,жим лежа,Название упражнения
12,гантели,Оборудование
13,dumbbell,Английское название оборудования
14,bench press,Английское название упражнения
15,жим гантелей,Альтернативное название
16,скамья,Оборудование
17,пекторальные,Целевые мышцы
18,жим,Тип движения
19,лежа,Положение тела
20,отягощение,Тип нагрузки
21,отжимания на брусьях,Название упражнения
22,dips,Английское название упражнения
23,брусья,Оборудование
24,parallel bars,Английское название оборудования
25,грудь акцент,Специфика упражнения
26,жим от груди,Название упражнения
27,machine chest press,Английское название упражнения
28,тренажер,Оборудование
29,machine,Английское название оборудования
30,рычажный,Тип тренажера
31,жим в смите,Название упражнения
32,smith machine,Английское название оборудования
33,машина смита,Оборудование
34,без страховщика,Специфика упражнения
35,decline,Английское название наклона
36,отрицательный наклон,Специфика упражнения
37,decline dumbbell press,Английское название упражнения
38,низ груди,Целевая зона
39,упоры,Оборудование
40,handles,Английское название оборудования
41,увеличенный диапазон,Специфика упражнения
42,extended range,Английское название специфики
43,разведение гантелей,Название упражнения
44,dumbbell fly,Английское название упражнения
45,fly,Сокращенное название упражнения
46,разведение,Тип движения
47,наклонная скамья,Оборудование
48,incline bench,Английское название оборудования
49,верх груди,Целевая зона
50,upper chest,Английское название целевой зоны
51,кроссовер,Название упражнения
52,cable fly,Английское название упражнения
53,cable,Оборудование
54,кабели,Оборудование
55,блочный тренажер,Оборудование
56,cable machine,Английское название оборудования
57,сведение рук,Название упражнения
58,постоянное натяжение,Специфика упражнения
59,constant tension,Английское название специфики
60,рукоятки,Оборудование
61,handles,Английское название оборудования
62,стоя,Положение тела
63,standing,Английское название положения тела
64,функциональное,Специфика упражнения
65,functional,Английское название специфики
66,стабилизация,Специфика упражнения
67,stabilization,Английское название специфики
68,координация,Специфика упражнения
69,coordination,Английское название специфики
70,корпус,Целевая зона
71,core,Английское название целевой зоны
72,жим штанги наклон,Название упражнения
73,incline barbell bench press,Английское название упражнения
74,barbell incline press,Альтернативное английское название упражнения
75,жим наклон,Альтернативное название упражнения
76,штанга,Оборудование
77,barbell,Английское название оборудования
78,decline barbell bench press,Английское название упражнения
79,decline barbell press,Альтернативное английское название упражнения
80,жим наклон вниз,Альтернативное название упражнения
81,отжимания узким хватом,Название упражнения
82,close grip push-ups,Английское название упражнения
83,close-grip pushups,Альтернативное английское название упражнения
84,narrow push-ups,Альтернативное английское название упражнения
85,внутренняя часть груди,Целевая зона
86,трицепсовые отжимания,Альтернативное название упражнения
87,узкий хват,Специфика упражнения
88,close grip,Английское название специфики
89,отжимания широким хватом,Название упражнения
90,wide grip push-ups,Английское название упражнения
91,wide-grip pushups,Альтернативное английское название упражнения
92,широкая постановка рук,Специфика упражнения
93,wide grip,Английское название специфики
94,chest push-ups,Альтернативное английское название упражнения
95,широкий хват,Специфика упражнения
96,отжимания наклон,Название упражнения
97,decline push-ups,Английское название упражнения
98,decline pushups,Альтернативное английское название упражнения
99,incline push-ups,Альтернативное английское название упражнения
100,ноги на возвышении,Специфика упражнения
101,feet elevated,Английское название специфики
102,отжимания с наклоном,Альтернативное название упражнения
103,продвинутые отжимания,Специфика упражнения
104,руки на возвышении,Специфика упражнения
105,hands elevated,Английское название специфики
106,incline pushups,Альтернативное английское название упражнения
107,упрощенные отжимания,Специфика упражнения
108,плиометрические отжимания,Название упражнения
109,plyometric push-ups,Английское название упражнения
110,plyometric pushups,Альтернативное написание
111,взрывные отжимания,Альтернативное название упражнения
112,explosive push-ups,Английское название упражнения
113,plyo,Сокращенное название
114,отжимания с отрывом рук,Специфика упражнения
115,hands off push-ups,Английское название специфики
116,power push-ups,Альтернативное английское название
117,взрывная сила,Специфика упражнения
118,explosive power,Английское название специфики
119,отжимания на кольцах,Название упражнения
120,ring push-ups,Английское название упражнения
121,gymnastic rings push-ups,Альтернативное английское название упражнения
122,кольца,Оборудование
123,rings,Английское название оборудования
124,гимнастические кольца,Оборудование
125,gymnastic rings,Английское название оборудования
126,нестабильная поверхность,Специфика упражнения
127,unstable surface,Английское название специфики
128,advanced push-ups,Альтернативное английское название
129,жим гантелей нейтральный хват,Название упражнения
130,dumbbell press neutral grip,Английское название упражнения
131,нейтральный хват,Специфика упражнения
132,neutral grip,Английское название специфики
133,neutral grip press,Альтернативное английское название упражнения
134,молотковый хват,Альтернативное название специфики
135,hammer grip,Английское название альтернативной специфики
136,плечи безопасно,Специфика упражнения
137,жим в смита наклон,Название упражнения
138,smith machine incline press,Английское название упражнения
139,жим наклонная скамья смит,Альтернативное название упражнения
140,incline smith machine,Альтернативное английское название упражнения
141,верх груди смит,Целевая зона
142,верхняя часть груди машина смита,Целевая зона
143,smith incline bench press,Английское название упражнения
144,incline smith press,Альтернативное английское название упражнения
145,жим в смита decline,Название упражнения
146,smith machine decline press,Английское название упражнения
147,машина смита отрицательный наклон,Альтернативное название упражнения
148,жим decline скамья смит,Альтернативное название упражнения
149,decline smith machine,Альтернативное английское название упражнения
150,низ груди смит,Целевая зона
151,нижняя часть груди машина смита,Целевая зона
152,smith decline bench press,Английское название упражнения
153,жим наклон вниз смит,Альтернативное название упражнения
154,кроссовер сверху,Название упражнения
155,cable crossover high,Английское название упражнения
156,cable crossover high to low,Английское название упражнения
157,кроссовер сверху вниз,Альтернативное название упражнения
158,нижняя часть,Целевая зона
159,lower chest,Английское название целевой зоны
160,отжимания на одной руке,Название упражнения
161,one arm push up,Английское название упражнения
162,single arm push up,Альтернативное английское название упражнения
163,односторонние отжимания,Альтернативное название упражнения
164,продвинутые отжимания,Специфика упражнения
165,advanced push ups,Английское название специфики
166,упражнение для груди,Целевая мышечная группа
167,chest exercise,Английское название целевой мышечной группы
168,single arm pushup,Альтернативное написание
169,однорукие отжимания,Альтернативное название упражнения
170,one arm pushup,Альтернативное английское написание
171,жим в хаммере одной рукой,Название упражнения
172,hammer chest press one arm,Английское название упражнения
173,односторонний жим,Альтернативное название упражнения
174,single arm chest press,Альтернативное английское название упражнения
175,hammer strength,Название оборудования
176,односторонняя работа,Специфика упражнения
177,unilateral chest press,Английское название специфики
178,пуловер,Название упражнения
179,pullover,Английское название упражнения
180,cable pullover,Английское название упражнения с оборудованием
181,пуловер с кабелем,Русское название с оборудованием
182,pullover cable,Альтернативное английское название
