id,tag,description
1,beginner-friendly,Подходит для начинающих
2,home-workout,Можно выполнять дома
3,core,Упражнения для кора
4,no-equipment,Не требует оборудования
5,upper-body,Упражнения для верхней части тела
6,lower-body,Упражнения для нижней части тела
7,cardio,Кардио упражнения
8,strength,Силовые упражнения
9,flexibility,Упражнения на гибкость
10,balance,Упражнения на баланс
11,isolation,Изолирующие упражнения
12,cable-exercise,Кабельные упражнения
13,gym-equipment,Требует тренажерного зала
14,bodyweight,Упражнения с собственным весом
15,intermediate-friendly,Подходит для среднего уровня
16,chest-upper,Акцент на верхнюю часть груди
17,advanced-only,Только для продвинутых
18,unstable,Нестабильная поверхность
19,shoulder-friendly,Безопасно для плечевых суставов
