id,exercise_id,mistake,created_at
1,dumbbell-bench-press-flat,"Отрыв лопаток от скамьи во время выполнения упражнения, что снижает стабильность и может привести к травме плеч.",2024-01-15T10:00:00Z
2,dumbbell-bench-press-flat,"Слишком широкий или узкий хват гантелей, что снижает эффективность упражнения и может вызвать дискомфорт в плечевых суставах.",2024-01-15T10:00:00Z
3,dumbbell-bench-press-flat,"Отсутствие контроля при опускании гантелей - слишком быстрое или резкое движение, что может привести к травме.",2024-01-15T10:00:00Z
4,dumbbell-bench-press-flat,"Отрыв стоп от пола или неправильное положение ног, что нарушает стабильность корпуса.",2024-01-15T10:00:00Z
5,dumbbell-bench-press-flat,Неполная амплитуда движения - недотягивание гантелей до груди или неполное выпрямление рук в верхней точке.,2024-01-15T10:00:00Z
6,barbell-bench-press,"Отрыв лопаток от скамьи во время выполнения упражнения, что снижает стабильность и может привести к травме плеч.",2024-01-15T10:00:00Z
7,barbell-bench-press,"Слишком широкий или узкий хват штанги, что снижает эффективность упражнения и может вызвать дискомфорт в плечевых суставах.",2024-01-15T10:00:00Z
8,barbell-bench-press,"Отсутствие контроля при опускании штанги - слишком быстрое или резкое движение, что может привести к травме.",2024-01-15T10:00:00Z
9,barbell-bench-press,"Отрыв стоп от пола или неправильное положение ног, что нарушает стабильность корпуса.",2024-01-15T10:00:00Z
10,barbell-bench-press,Неполная амплитуда движения - недотягивание штанги до груди или неполное выпрямление рук в верхней точке.,2024-01-15T10:00:00Z
11,push-ups,"Прогиб в пояснице или поднятие ягодиц вверх, что нарушает прямую линию тела и снижает эффективность упражнения.",2024-01-15T10:00:00Z
12,push-ups,"Слишком широкий или узкий хват рук, что снижает эффективность упражнения и может вызвать дискомфорт в плечевых суставах.",2024-01-15T10:00:00Z
13,push-ups,Неполная амплитуда движения - недотягивание груди до пола или неполное выпрямление рук в верхней точке.,2024-01-15T10:00:00Z
14,push-ups,"Отсутствие контроля при опускании тела - слишком быстрое или резкое движение, что может привести к травме.",2024-01-15T10:00:00Z
15,push-ups,"Неправильное положение головы - опускание или поднятие головы, что нарушает нейтральное положение позвоночника.",2024-01-15T10:00:00Z
16,incline-dumbbell-press,"Отрыв лопаток от скамьи во время выполнения упражнения, что снижает стабильность и может привести к травме плеч.",2024-01-15T10:00:00Z
17,incline-dumbbell-press,"Слишком широкий или узкий хват гантелей, что снижает эффективность упражнения и может вызвать дискомфорт в плечевых суставах.",2024-01-15T10:00:00Z
18,incline-dumbbell-press,"Отсутствие контроля при опускании гантелей - слишком быстрое или резкое движение, что может привести к травме.",2024-01-15T10:00:00Z
19,incline-dumbbell-press,"Отрыв стоп от пола или неправильное положение ног, что нарушает стабильность корпуса.",2024-01-15T10:00:00Z
20,incline-dumbbell-press,Неполная амплитуда движения - недотягивание гантелей до груди или неполное выпрямление рук в верхней точке.,2024-01-15T10:00:00Z
21,dips-chest-focus,"Слишком глубокое опускание тела, что может привести к травме плечевых суставов и растяжению связок.",2024-01-15T10:00:00Z
22,dips-chest-focus,"Раскачивание тела и использование инерции вместо мышечной силы, что снижает эффективность упражнения.",2024-01-15T10:00:00Z
23,dips-chest-focus,"Неправильное положение корпуса - слишком вертикальное или слишком горизонтальное, что смещает нагрузку с грудных мышц.",2024-01-15T10:00:00Z
24,dips-chest-focus,"Слишком широкий или узкий хват на брусьях, что снижает эффективность и может вызвать дискомфорт в плечевых суставах.",2024-01-15T10:00:00Z
25,dips-chest-focus,Неполная амплитуда движения - неполное опускание или неполное выпрямление рук в верхней точке.,2024-01-15T10:00:00Z
26,machine-chest-press-plate-loaded,"Неправильная настройка тренажера - слишком высокое или низкое положение сиденья, что нарушает естественную траекторию движения.",2024-01-15T10:00:00Z
27,machine-chest-press-plate-loaded,"Отрыв спины от спинки тренажера во время выполнения упражнения, что снижает стабильность и может привести к травме.",2024-01-15T10:00:00Z
28,machine-chest-press-plate-loaded,"Слишком широкий или узкий хват рукояток, что снижает эффективность упражнения и может вызвать дискомфорт в плечевых суставах.",2024-01-15T10:00:00Z
29,machine-chest-press-plate-loaded,"Отсутствие контроля при опускании рукояток - слишком быстрое или резкое движение, что может привести к травме.",2024-01-15T10:00:00Z
30,machine-chest-press-plate-loaded,Неполная амплитуда движения - недотягивание рукояток до груди или неполное выпрямление рук в верхней точке.,2024-01-15T10:00:00Z
31,smith-machine-bench-press,"Отрыв лопаток от скамьи во время выполнения упражнения, что снижает стабильность и может привести к травме плеч.",2024-01-15T10:00:00Z
32,smith-machine-bench-press,"Слишком широкий или узкий хват штанги, что снижает эффективность упражнения и может вызвать дискомфорт в плечевых суставах.",2024-01-15T10:00:00Z
33,smith-machine-bench-press,"Отсутствие контроля при опускании штанги - слишком быстрое или резкое движение, что может привести к травме.",2024-01-15T10:00:00Z
34,smith-machine-bench-press,"Отрыв стоп от пола или неправильное положение ног, что нарушает стабильность корпуса.",2024-01-15T10:00:00Z
35,smith-machine-bench-press,Неполная амплитуда движения - недотягивание штанги до груди или неполное выпрямление рук в верхней точке.,2024-01-15T10:00:00Z
36,decline-dumbbell-press,"Отрыв лопаток от скамьи во время выполнения упражнения, что снижает стабильность и может привести к травме плеч.",2024-01-15T10:00:00Z
37,decline-dumbbell-press,"Слишком широкий или узкий хват гантелей, что снижает эффективность упражнения и может вызвать дискомфорт в плечевых суставах.",2024-01-15T10:00:00Z
38,decline-dumbbell-press,"Отсутствие контроля при опускании гантелей - слишком быстрое или резкое движение, что может привести к травме.",2024-01-15T10:00:00Z
39,decline-dumbbell-press,"Неправильная фиксация ног в упорах, что может привести к соскальзыванию со скамьи и травме.",2024-01-15T10:00:00Z
40,decline-dumbbell-press,Неполная амплитуда движения - недотягивание гантелей до груди или неполное выпрямление рук в верхней точке.,2024-01-15T10:00:00Z
41,push-ups-on-handles,"Прогиб в пояснице или поднятие ягодиц вверх, что нарушает прямую линию тела и снижает эффективность упражнения.",2024-01-15T10:00:00Z
42,push-ups-on-handles,"Слишком широкий или узкий хват на упорах, что снижает эффективность упражнения и может вызвать дискомфорт в плечевых суставах.",2024-01-15T10:00:00Z
43,push-ups-on-handles,Неполная амплитуда движения - недотягивание груди до упоров или неполное выпрямление рук в верхней точке.,2024-01-15T10:00:00Z
44,push-ups-on-handles,"Отсутствие контроля при опускании тела - слишком быстрое или резкое движение, что может привести к травме.",2024-01-15T10:00:00Z
45,push-ups-on-handles,"Неправильное положение головы - опускание или поднятие головы, что нарушает нейтральное положение позвоночника.",2024-01-15T10:00:00Z
46,dumbbell-fly-flat-bench,"Выпрямление рук полностью - риск травмы локтевого сустава и потеря контроля над движением.",2024-01-15T10:00:00Z
47,dumbbell-fly-flat-bench,"Слишком глубокое опускание гантелей ниже уровня плеч - перерастяжение плечевого сустава и риск травмы.",2024-01-15T10:00:00Z
48,dumbbell-fly-flat-bench,"Изменение угла в локтях во время движения - превращение разведения в жим, что снижает изоляцию грудных мышц.",2024-01-15T10:00:00Z
49,dumbbell-fly-flat-bench,"Слишком быстрый темп выполнения - потеря контроля и напряжения в мышцах, что снижает эффективность упражнения.",2024-01-15T10:00:00Z
50,dumbbell-fly-flat-bench,"Отрыв ног от пола или неправильное положение стоп - потеря стабильности корпуса и снижение эффективности.",2024-01-15T10:00:00Z
51,dumbbell-fly-floor,"Выпрямление рук полностью - риск травмы локтевого сустава даже при ограниченном диапазоне.",2024-01-15T10:00:00Z
52,dumbbell-fly-floor,"Попытка опустить локти ниже уровня пола - невозможно и может привести к дискомфорту.",2024-01-15T10:00:00Z
53,dumbbell-fly-floor,"Отрыв лопаток от пола - потеря стабильности и снижение эффективности упражнения.",2024-01-15T10:00:00Z
