exercise_id,pattern_id
dumbbell-bench-press-flat,3
barbell-bench-press,3
push-ups,3
incline-dumbbell-press,3
dips-chest-focus,3
machine-chest-press-plate-loaded,3
smith-machine-bench-press,3
decline-dumbbell-press,3
push-ups-on-handles,3
dumbbell-fly-flat-bench,3
dumbbell-fly-floor,3
dumbbell-fly-incline-bench,3
cable-fly-flat,3
cable-fly-standing,3
pec-deck-fly,3
cable-crossover-low-to-high,3
dumbbell-pullover,4
resistance-band-fly,3
incline-barbell-bench-press,3
decline-barbell-bench-press,3
close-grip-push-ups,3
wide-grip-push-ups,3
decline-push-ups,3
incline-push-ups,3
plyometric-push-ups,3
plyometric-push-ups,15
plyometric-push-ups,12
ring-push-ups,3
ring-push-ups,15
dumbbell-press-neutral-grip,3
smith-machine-incline-bench-press,3
smith-machine-decline-bench-press,3
cable-crossover-high-to-low,3
one-arm-push-up,3
one-arm-push-up,8
hammer-chest-press-one-arm,3
cable-pullover,6
dumbbell-fly-decline-bench,3
weighted-push-ups,3
dumbbell-bench-press-alternating-floor,3
alternating-dumbbell-bench-press,3
incline-alternating-dumbbell-press,3
svend-press,3
neutral-grip-barbell-bench-press,3
kettlebell-floor-press,3
landmine-press,3
trx-push-ups,3
trx-push-ups,15
diamond-push-ups,3
push-ups-with-pause,3
archer-push-ups,3
archer-push-ups,8
barbell-floor-press,3
hammer-strength-chest-press,3
standing-cable-crossover-press,3
incline-hammer-strength-press,3
explosive-medicine-ball-press,3
explosive-medicine-ball-press,8
pull-ups-wide-grip,6
pull-ups-medium-grip,6
pull-ups-close-grip,6
pull-ups-underhand-grip,6
pull-ups-neutral-grip,6
pull-ups-archer,6
pull-ups-one-arm,6
pull-ups-weighted,6
pull-ups-l-sit,6
pull-ups-behind-neck,6
explosive-pull-ups,6
explosive-pull-ups,12
scapular-retraction-hang,6
dead-hang,6
chest-to-bar-pull-ups,6
muscle-up,6
pull-ups-rings,6
pull-ups-rings-wide-grip,6
trx-row-standing,5
trx-pull-ups-assisted,6
lat-pulldown-wide-grip,6
lat-pulldown-medium-grip,6
lat-pulldown-close-grip,6
lat-pulldown-underhand-grip,6
lat-pulldown-neutral-grip,6
lat-pulldown-behind-neck,6
lat-pulldown-straight-arm,6
lat-pulldown-one-arm,6
lat-pulldown-wide-grip-chest,6
cable-pulldown-standing,6
cable-pulldown-seated,6
australian-pull-ups,5
australian-pull-ups-feet-elevated,5
australian-pull-ups-underhand-grip,5
dumbbell-one-arm-row,5
dumbbell-bent-over-row,5
dumbbell-incline-bench-row,5
plank-row,5
barbell-bent-over-row,5
barbell-bent-over-row-underhand,5
yates-row,5
pendlay-row,5
ez-bar-bent-over-row,5
swiss-bar-row,5
cable-seated-row,5
cable-standing-row,5
cable-one-arm-row,5
cable-wide-grip-row,5
cable-close-grip-row,5
cable-horizontal-row-underhand-grip,5
cable-horizontal-row-neutral-grip,5
cable-crossover-row-high,5
cable-crossover-row-low,5
cable-horizontal-row-kneeling,5
hammer-strength-row,5
t-bar-row-machine,5
trx-row,5
trx-row-wide-grip,5
trx-row-close-grip,5
trx-row-archer,5
