id,exercise_id,note,created_at
1,dumbbell-bench-press-flat,"Начинайте с веса, который позволяет выполнить 12-15 повторений с правильной техникой, затем постепенно увеличивайте нагрузку.",2024-01-15T10:00:00Z
2,dumbbell-bench-press-flat,Для развития силы выполняйте 3-5 подходов по 6-8 повторений с весом 80-85% от максимума. Для массы - 3-4 подхода по 8-12 повторений с весом 70-80%.,2024-01-15T10:00:00Z
3,dumbbell-bench-press-flat,"Включайте это упражнение в начало тренировки груди, когда мышцы еще свежие. Не выполняйте после других тяжелых жимовых упражнений.",2024-01-15T10:00:00Z
4,barbell-bench-press,"Начинайте с веса, который позволяет выполнить 8-10 повторений с правильной техникой, затем постепенно увеличивайте нагрузку.",2024-01-15T10:00:00Z
5,barbell-bench-press,Для развития максимальной силы выполняйте 3-5 подходов по 3-5 повторений с весом 85-95% от максимума. Для массы - 3-4 подхода по 6-8 повторений с весом 75-85%.,2024-01-15T10:00:00Z
6,barbell-bench-press,"Это упражнение должно быть первым в тренировке груди, когда ЦНС и мышцы максимально свежие. Не выполняйте после других тяжелых жимовых упражнений.",2024-01-15T10:00:00Z
7,push-ups,"Начинайте с количества повторений, которое можете выполнить с правильной техникой, затем постепенно увеличивайте нагрузку.",2024-01-15T10:00:00Z
8,push-ups,Для развития силы выполняйте 3-5 подходов по 8-15 повторений. Для выносливости - 2-3 подхода по 15-25 повторений.,2024-01-15T10:00:00Z
9,push-ups,"Это упражнение можно выполнять в любое время тренировки, но лучше в начале для разминки или в конце для завершения.",2024-01-15T10:00:00Z
10,incline-dumbbell-press,"Начинайте с веса, который позволяет выполнить 12-15 повторений с правильной техникой, затем постепенно увеличивайте нагрузку.",2024-01-15T10:00:00Z
11,incline-dumbbell-press,Для развития силы выполняйте 3-5 подходов по 6-8 повторений с весом 80-85% от максимума. Для массы - 3-4 подхода по 8-12 повторений с весом 70-80%.,2024-01-15T10:00:00Z
12,incline-dumbbell-press,Включайте это упражнение после основного жима в тренировке груди для развития верхней части грудных мышц.,2024-01-15T10:00:00Z
13,dips-chest-focus,"Начинайте с количества повторений, которое можете выполнить с правильной техникой, затем постепенно увеличивайте нагрузку.",2024-01-15T10:00:00Z
