id,exercise_id,muscle_type,muscle_name,activation_level,created_at
1,dumbbell-bench-press-flat,primary,pectoralis-major,85,2024-01-15T10:00:00Z
2,dumbbell-bench-press-flat,primary,anterior-deltoid,70,2024-01-15T10:00:00Z
3,dumbbell-bench-press-flat,primary,triceps-brachii,65,2024-01-15T10:00:00Z
4,dumbbell-bench-press-flat,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
5,dumbbell-bench-press-flat,secondary,core-muscles,30,2024-01-15T10:00:00Z
6,barbell-bench-press,primary,pectoralis-major,90,2024-01-15T10:00:00Z
7,barbell-bench-press,primary,anterior-deltoid,75,2024-01-15T10:00:00Z
8,barbell-bench-press,primary,triceps-brachii,70,2024-01-15T10:00:00Z
9,barbell-bench-press,secondary,serratus-anterior,45,2024-01-15T10:00:00Z
10,barbell-bench-press,secondary,core-muscles,35,2024-01-15T10:00:00Z
11,push-ups,primary,pectoralis-major,70,2024-01-15T10:00:00Z
12,push-ups,primary,anterior-deltoid,60,2024-01-15T10:00:00Z
13,push-ups,primary,triceps-brachii,60,2024-01-15T10:00:00Z
14,push-ups,secondary,serratus-anterior,45,2024-01-15T10:00:00Z
15,push-ups,secondary,core-muscles,50,2024-01-15T10:00:00Z
16,incline-dumbbell-press,primary,upper-pectoralis,80,2024-01-15T10:00:00Z
17,incline-dumbbell-press,primary,anterior-deltoid,70,2024-01-15T10:00:00Z
18,incline-dumbbell-press,primary,triceps-brachii,60,2024-01-15T10:00:00Z
19,incline-dumbbell-press,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
20,incline-dumbbell-press,secondary,core-muscles,30,2024-01-15T10:00:00Z
21,dips-chest-focus,primary,pectoralis-major,75,2024-01-15T10:00:00Z
22,dips-chest-focus,primary,anterior-deltoid,65,2024-01-15T10:00:00Z
23,dips-chest-focus,primary,triceps-brachii,70,2024-01-15T10:00:00Z
24,dips-chest-focus,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
25,dips-chest-focus,secondary,core-muscles,60,2024-01-15T10:00:00Z
26,machine-chest-press-plate-loaded,primary,pectoralis-major,80,2024-01-15T10:00:00Z
27,machine-chest-press-plate-loaded,primary,anterior-deltoid,65,2024-01-15T10:00:00Z
28,machine-chest-press-plate-loaded,primary,triceps-brachii,60,2024-01-15T10:00:00Z
29,machine-chest-press-plate-loaded,secondary,serratus-anterior,35,2024-01-15T10:00:00Z
30,machine-chest-press-plate-loaded,secondary,core-muscles,25,2024-01-15T10:00:00Z
31,smith-machine-bench-press,primary,pectoralis-major,85,2024-01-15T10:00:00Z
32,smith-machine-bench-press,primary,anterior-deltoid,70,2024-01-15T10:00:00Z
33,smith-machine-bench-press,primary,triceps-brachii,65,2024-01-15T10:00:00Z
34,smith-machine-bench-press,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
35,smith-machine-bench-press,secondary,core-muscles,30,2024-01-15T10:00:00Z
36,decline-dumbbell-press,primary,lower-pectoralis,85,2024-01-15T10:00:00Z
37,decline-dumbbell-press,primary,anterior-deltoid,65,2024-01-15T10:00:00Z
38,decline-dumbbell-press,primary,triceps-brachii,60,2024-01-15T10:00:00Z
39,decline-dumbbell-press,secondary,serratus-anterior,40,2024-01-15T10:00:00Z
40,decline-dumbbell-press,secondary,core-muscles,35,2024-01-15T10:00:00Z
41,push-ups-on-handles,primary,pectoralis-major,75,2024-01-15T10:00:00Z
42,push-ups-on-handles,primary,anterior-deltoid,65,2024-01-15T10:00:00Z
43,push-ups-on-handles,primary,triceps-brachii,65,2024-01-15T10:00:00Z
44,push-ups-on-handles,secondary,serratus-anterior,50,2024-01-15T10:00:00Z
