id,type,name,description,difficulty,category,primary_muscle_group,tracking_type,location,minimum_experience,popularity_score,is_verified,certification_source,version,created_at,updated_at,metadata
dumbbell-bench-press-flat,strength,Жим гантелей лежа на горизонтальной скамье,"Базовое силовое упражнение для развития грудных мышц, плеч и трицепсов. Выполняется лежа на горизонтальной скамье с гантелями в руках. Обеспечивает больший диапазон движения и лучшую изоляцию мышц по сравнению с жимом штанги.",intermediate,strength-compound,chest,weight-reps,both,6,85,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""beginner-friendly""],""estimatedDuration"":300,""caloriesPerMinute"":8,""searchKeywords"":[""жим гантелей"",""dumbbell bench press"",""грудь"",""пекторальные""]}"
barbell-bench-press,strength,Жим штанги лежа на горизонтальной скамье,"Классическое базовое упражнение для развития максимальной силы и массы грудных мышц, передних дельт и трицепсов. Выполняется лежа на горизонтальной скамье со штангой. Позволяет работать с максимальными весами и является основой для развития силы верхней части тела.",intermediate,strength-compound,chest,weight-reps,gym,6,95,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""compound""],""estimatedDuration"":300,""caloriesPerMinute"":10,""searchKeywords"":[""жим штанги"",""barbell bench press"",""грудь"",""базовое упражнение""]}"
push-ups,strength,Отжимания от пола,"Базовое упражнение с собственным весом для развития грудных мышц, передних дельт и трицепсов. Выполняется в планке с опусканием и подъемом тела. Отлично подходит для домашних тренировок и развития функциональной силы верхней части тела.",beginner,strength-compound,chest,bodyweight-reps,both,0,90,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""beginner-friendly"",""home-workout"",""no-equipment""],""estimatedDuration"":180,""caloriesPerMinute"":6,""searchKeywords"":[""отжимания"",""push-ups"",""грудь"",""собственный вес""]}"
incline-dumbbell-press,strength,Жим гантелей на наклонной скамье,"Упражнение для развития верхней части грудных мышц, передних дельт и трицепсов. Выполняется на скамье с положительным наклоном 30-45 градусов. Обеспечивает больший диапазон движения и лучшую изоляцию верхней части груди по сравнению с горизонтальным жимом.",intermediate,strength-compound,chest,weight-reps,gym,6,80,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""beginner-friendly""],""estimatedDuration"":300,""caloriesPerMinute"":8,""searchKeywords"":[""жим гантелей наклон"",""incline dumbbell press"",""верх груди"",""пекторальные""]}"
dips-chest-focus,strength,Отжимания на брусьях с акцентом на грудь,"Базовое упражнение с собственным весом для развития грудных мышц, трицепсов и передних дельт. Выполняется на брусьях с наклоном корпуса вперед для акцента на грудные мышцы. Отлично развивает функциональную силу верхней части тела и стабильность корпуса.",intermediate,strength-compound,chest,bodyweight-reps,gym,6,75,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""compound"",""bodyweight""],""estimatedDuration"":240,""caloriesPerMinute"":9,""searchKeywords"":[""отжимания на брусьях"",""dips"",""грудь"",""брусья""]}"
machine-chest-press-plate-loaded,strength,Жим от груди в рычажном тренажере,"Безопасное упражнение в рычажном тренажере с естественной траекторией движения и независимыми рукоятками. Отлично подходит для начинающих и тех, кто тренируется без страховщика. Обеспечивает стабильную нагрузку на грудные мышцы, плечи и трицепсы с фиксированной траекторией движения.",beginner,strength-compound,chest,weight-reps,gym,3,70,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""beginner-friendly"",""machine"",""safe""],""estimatedDuration"":240,""caloriesPerMinute"":7,""searchKeywords"":[""жим от груди"",""machine chest press"",""тренажер"",""грудь""]}"
smith-machine-bench-press,strength,Жим лежа в машине Смита,"Безопасное упражнение в машине Смита с фиксированной вертикальной траекторией движения штанги. Отлично подходит для тренировок без страховщика и позволяет сосредоточиться на технике выполнения. Обеспечивает стабильную нагрузку на грудные мышцы, плечи и трицепсы с контролируемым движением.",intermediate,strength-compound,chest,weight-reps,gym,6,75,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""machine"",""safe"",""no-spotter""],""estimatedDuration"":300,""caloriesPerMinute"":8,""searchKeywords"":[""жим в смите"",""smith machine"",""машина смита"",""грудь""]}"
decline-dumbbell-press,strength,Жим гантелей на скамье с отрицательным наклоном,"Упражнение для развития нижней части грудных мышц, передних дельт и трицепсов. Выполняется на скамье с отрицательным наклоном -15-30 градусов. Обеспечивает акцент на нижнюю часть грудных мышц и дополняет горизонтальный и наклонный жим для полного развития груди.",intermediate,strength-compound,chest,weight-reps,gym,6,70,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""decline"",""chest-lower""],""estimatedDuration"":300,""caloriesPerMinute"":8,""searchKeywords"":[""жим гантелей наклон"",""decline dumbbell press"",""низ груди"",""пекторальные""]}"
push-ups-on-handles,strength,Отжимания на упорах,"Упражнение с собственным весом для развития грудных мышц, передних дельт и трицепсов с увеличенным диапазоном движения. Выполняется с использованием специальных упоров, что позволяет опускаться ниже и лучше растягивать грудные мышцы. Отлично подходит для домашних тренировок и развития функциональной силы.",beginner,strength-compound,chest,bodyweight-reps,both,3,75,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""beginner-friendly"",""home-workout"",""extended-range""],""estimatedDuration"":240,""caloriesPerMinute"":7,""searchKeywords"":[""отжимания на упорах"",""push-ups on handles"",""грудь"",""увеличенный диапазон""]}"
dumbbell-fly-flat-bench,strength,Разведение гантелей лежа на горизонтальной скамье,Изолирующее упражнение для развития грудных мышц с акцентом на растяжение и сокращение. Выполняется лежа на горизонтальной скамье с разведением гантелей по широкой дуге. Отлично подходит для завершения тренировки груди и улучшения мышечного контроля.,intermediate,strength-isolation,chest,weight-reps,gym,6,75,true,NSCA,2.0.0,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,"{""tags"":[""upper-body"",""strength"",""isolation"",""chest"",""fly""],""estimatedDuration"":300,""caloriesPerMinute"":6,""searchKeywords"":[""разведение гантелей"",""dumbbell fly"",""грудь"",""изоляция"",""пекторальные"",""flyes""]}"
