exercise_id,purpose_id
dumbbell-bench-press-flat,1
dumbbell-bench-press-flat,2
barbell-bench-press,1
barbell-bench-press,2
push-ups,1
push-ups,2
incline-dumbbell-press,1
incline-dumbbell-press,2
dips-chest-focus,1
dips-chest-focus,2
machine-chest-press-plate-loaded,1
machine-chest-press-plate-loaded,2
smith-machine-bench-press,1
smith-machine-bench-press,2
decline-dumbbell-press,1
decline-dumbbell-press,2
push-ups-on-handles,1
push-ups-on-handles,2
dumbbell-fly-flat-bench,2
dumbbell-fly-flat-bench,3
dumbbell-fly-floor,2
dumbbell-fly-floor,3
dumbbell-fly-incline-bench,2
dumbbell-fly-incline-bench,3
cable-fly-flat,2
cable-fly-flat,3
cable-fly-standing,2
cable-fly-standing,3
cable-fly-standing,1
pec-deck-fly,2
pec-deck-fly,3
cable-crossover-low-to-high,2
cable-crossover-low-to-high,3
cable-crossover-low-to-high,1
dumbbell-pullover,2
dumbbell-pullover,3
dumbbell-pullover,4
resistance-band-fly,2
resistance-band-fly,3
resistance-band-fly,5
incline-barbell-bench-press,1
incline-barbell-bench-press,2
decline-barbell-bench-press,1
decline-barbell-bench-press,2
close-grip-push-ups,1
close-grip-push-ups,2
close-grip-push-ups,3
wide-grip-push-ups,1
wide-grip-push-ups,2
wide-grip-push-ups,3
decline-push-ups,1
decline-push-ups,2
decline-push-ups,3
incline-push-ups,1
incline-push-ups,2
incline-push-ups,3
plyometric-push-ups,1
plyometric-push-ups,2
plyometric-push-ups,3
ring-push-ups,1
ring-push-ups,2
ring-push-ups,3
dumbbell-press-neutral-grip,1
dumbbell-press-neutral-grip,2
dumbbell-press-neutral-grip,3
smith-machine-incline-bench-press,1
smith-machine-incline-bench-press,2
smith-machine-decline-bench-press,1
smith-machine-decline-bench-press,2
cable-crossover-high-to-low,1
cable-crossover-high-to-low,2
cable-crossover-high-to-low,3
one-arm-push-up,1
one-arm-push-up,2
hammer-chest-press-one-arm,1
hammer-chest-press-one-arm,2
hammer-chest-press-one-arm,3
cable-pullover,2
cable-pullover,1
cable-pullover,3
dumbbell-fly-decline-bench,2
dumbbell-fly-decline-bench,3
weighted-push-ups,1
weighted-push-ups,2
weighted-push-ups,3
dumbbell-bench-press-alternating-floor,1
